0.001,0.21,0.22,2,1,1,1,1,10,10,300,100,0.1,28.28,117.5
0.2,0.001,0.001,2,0.671,0.671,1.342,1.342,6.71,13.42,270,90,0.9,79.64,31.07
0.001,0.21,0.22,2,1.414,1.414,0.3535,0.707,14.14,7.07,300,100,0.9,0.22,56.08
0.2,0.001,0.001,1,0.671,0.671,0.671,1.342,6.71,13.42,270,90,0.9,35.56,143.22
0.2,0.001,0.22,2,1,1,1,0.5,10,10,300,100,0.1,30.61,122.6
0.001,0.21,0.22,1,1.342,1.342,0.671,0.3355,13.42,6.71,270,90,0.1,12.1,60.6
0.001,0.21,0.001,2,0.707,0.707,0.707,0.707,7.07,14.14,300,100,0.9,29.12,116.8
0.2,0.001,0.001,1,1,1,1,1,10,10,300,100,0.9,49.05,22.26
0.001,0.001,0.001,1,0.316,0.316,0.6325,1.265,6.32,12.65,240,80,0.1,47.51,173
0.2,0.21,0.22,1,0.3355,0.3355,0.671,0.671,6.71,13.42,270,90,0.1,0.03,55.06
0.2,0.21,0.22,2,0.447,0.447,0.894,0.894,8.94,8.94,240,80,0.9,59.9,26.79
0.001,0.21,0.001,2,1.414,1.414,0.707,0.707,14.14,7.07,300,100,0.1,55.08,0
0.001,0.001,0.001,1,0.4745,0.4745,0.4745,0.949,9.49,9.49,270,90,0.9,0.04,54.38
0.2,0.001,0.001,1,0.707,0.707,0.707,0.707,14.14,7.07,300,100,0.9,9.96,50.73
0.2,0.21,0.22,1,0.671,0.671,1.342,1.342,6.71,13.42,270,90,0.9,36.07,142.89
0.2,0.21,0.22,2,1.342,1.342,0.3355,0.3355,13.42,6.71,270,90,0.9,53.81,23.52
0.001,0.21,0.001,2,0.949,0.949,0.4745,0.949,9.49,9.49,270,90,0.9,0.02,56.03
0.2,0.21,0.22,1,0.949,0.949,0.4745,0.4745,9.49,9.49,270,90,0.9,69.73,0
0.2,0.001,0.22,2,0.5,0.5,0.5,1,10,10,300,100,0.9,63.46,27.97
0.001,0.001,0.001,1,0.316,0.316,1.265,1.265,6.32,12.65,240,80,0.1,77.8,0
0.001,0.21,0.22,2,0.671,0.671,0.3355,0.671,13.42,6.71,270,90,0.1,22.92,138.67
0.001,0.21,0.001,2,0.707,0.707,0.707,0.707,14.14,7.07,300,100,0.9,36.43,138.5
0.2,0.21,0.001,2,0.316,0.316,0.6325,1.265,6.32,12.65,240,80,0.1,78.83,26.75
0.001,0.21,0.22,1,0.632,0.632,1.265,0.6325,6.32,12.65,240,80,0.9,70.08,0
0.001,0.21,0.22,2,1.265,1.265,0.316,0.632,12.65,6.32,240,80,0.1,61.01,30.89
0.2,0.21,0.001,1,0.707,0.707,0.707,0.3535,14.14,7.07,300,100,0.9,72.9,0
0.2,0.21,0.22,1,0.5,0.5,1,1,10,10,300,100,0.9,74.91,0
0.001,0.001,0.001,2,1.414,1.414,0.3535,0.707,14.14,7.07,300,100,0.1,58.98,0.03
0.2,0.001,0.22,1,0.632,0.632,1.265,1.265,6.32,12.65,240,80,0.9,64.18,0.33
0.2,0.21,0.001,1,0.671,0.671,1.342,1.342,6.71,13.42,270,90,0.9,42.47,152.78
0.2,0.001,0.001,2,0.4745,0.4745,0.4745,0.4745,9.49,9.49,270,90,0.1,81.18,0
0.2,0.001,0.22,2,0.949,0.949,0.4745,0.949,9.49,9.49,270,90,0.1,12.38,55.99
0.001,0.001,0.22,2,0.949,0.949,0.949,0.949,9.49,9.49,270,90,0.9,42.12,155.11
0.001,0.21,0.001,1,1.342,1.342,0.3355,0.671,13.42,6.71,270,90,0.1,24.67,146.78
0.2,0.21,0.001,2,0.4745,0.4745,0.949,0.949,9.49,9.49,270,90,0.9,70.83,32.66
0.2,0.21,0.22,2,1,1,1,0.5,10,10,300,100,0.1,11.11,52.86
0.2,0.001,0.001,1,0.949,0.949,0.4745,0.4745,9.49,9.49,270,90,0.1,70.46,32.16
0.2,0.21,0.22,2,1,1,0.5,1,10,10,300,100,0.1,30.4,120.5
